Time (seconds),Distance (meters),Pace (seconds),Watts,Stroke Rate,Heart Rate
0,0,0,0,0,0
5,18.5,135.1,120,24,95
10,38.2,131.2,128,25,102
15,59.1,128.5,135,26,110
20,81.0,125.3,142,27,118
25,103.8,122.1,150,28,125
30,127.5,120.0,155,28,130
35,152.0,118.5,158,29,134
40,177.3,117.2,162,29,137
45,203.1,116.0,165,30,140
50,229.5,115.1,168,30,142
55,256.3,114.3,170,30,144
60,283.8,113.8,172,31,146
65,311.6,113.2,174,31,148
70,340.0,112.8,175,31,149
75,368.8,112.5,176,31,150
80,397.9,112.0,178,32,151
85,427.3,111.8,179,32,152
90,457.0,111.5,180,32,153
95,487.0,111.2,181,32,153
100,517.2,111.0,182,32,154
105,547.6,110.8,183,33,154
110,578.2,110.5,184,33,155
115,609.0,110.3,185,33,155
120,640.0,110.0,186,33,156
125,671.2,110.0,186,33,156
130,702.5,109.8,187,33,157
135,734.0,109.5,188,34,157
140,765.6,109.3,189,34,158
145,797.4,109.0,190,34,158
150,829.3,108.8,191,34,159
155,861.4,108.5,192,34,159
160,893.6,108.3,193,34,160
165,926.0,108.0,194,34,160
170,958.5,107.8,195,35,161
175,991.1,107.5,196,35,161
180,1023.9,107.3,197,35,162
185,1056.8,107.0,198,35,162
190,1089.8,106.8,199,35,163
195,1123.0,106.5,200,35,163
200,1156.3,106.3,201,36,164
205,1189.7,106.0,202,36,164
210,1223.2,105.8,203,36,165
215,1256.9,105.5,204,36,165
220,1290.7,105.3,205,36,166
225,1324.6,105.0,206,36,166
230,1358.6,104.8,207,37,167
235,1392.8,104.5,208,37,167
240,1427.0,104.3,209,37,168
245,1461.4,104.0,210,37,168
250,1495.9,103.8,211,37,169
255,1530.5,103.5,212,37,169
260,1565.2,103.3,213,38,170
265,1600.0,103.0,214,38,170
270,1635.0,102.8,215,38,171
275,1670.0,102.5,216,38,171
280,1705.2,102.3,217,38,172
285,1740.5,102.0,218,38,172
290,1775.9,101.8,219,39,173
295,1811.4,101.5,220,39,173
300,1847.0,101.3,221,39,174
